SYMBOL,SPOT_CLOSE,PREV_SPOT_CLOSE,FUT_NEXT_PRICE,ROLL_COST_PCT_M,ROLL_OI_PCT_M,ROLL_OI_PCT_6M,ROLL_COST_PCT_6M
TATASTEEL,166.33,181.81,167.2,0.6804,80.9074,82.0518,0.5964
TATATECH,669.5,695.5,672.55,0.6359,88.7054,83.298,0.3603
TCS,3119.2,3057.9,3135.5,0.7357,90.4118,86.0223,0.3688
TECHM,1494.7,1447.4,1502.1,0.6769,92.5954,83.7875,0.5306
TIINDIA,2879.7,3125.5,2900.9,0.6314,89.7557,85.9546,0.5832
TITAN,3855.1,3717.0,3881.6,0.5752,85.3321,85.0983,0.4766
TMPV,352.45,411.5,355.0,0.7092,92.9341,92.4772,0.7302
TORNTPHARM,3745.2,3576.5,3769.6,0.708,89.3633,90.1384,0.4315
TORNTPOWER,1293.0,1277.2,1298.5,0.7058,84.7863,83.4589,0.536
TRENT,4243.9,4725.4,4266.3,0.7438,78.6177,87.4419,0.5023
TVSMOTOR,3447.8,3562.0,3464.2,0.5369,79.7155,79.7843,0.4173
ULTRACEMCO,11580.0,11931.0,11637.0,0.6748,81.1469,86.7067,0.4761
UNIONBANK,152.85,147.07,153.85,0.5687,88.4318,86.4768,0.6305
UNITDSPR,1430.4,1351.8,1437.6,0.6441,83.5407,84.1188,0.5529
UNOMINDA,1285.3,1201.2,1292.4,0.6934,92.155,87.4033,0.4677
UPL,749.7,702.6,755.45,0.7939,84.9001,87.6567,0.355
VBL,449.05,454.15,451.15,0.6021,76.6427,86.2226,0.5497
VEDL,504.65,502.45,507.65,0.6743,85.8179,85.1236,0.5504
VOLTAS,1356.3,1428.4,1344.4,-0.687,86.1767,90.877,-0.9699
WIPRO,245.64,242.38,246.02,-0.0691,89.9845,90.5436,-0.0818
YESBANK,22.7,22.73,22.81,0.7064,82.2903,80.5426,0.6747
ZYDUSLIFE,928.5,1001.25,933.0,0.6635,84.7478,89.3807,0.2931
